time,dur,type
01/18/19 10:00,15,R
01/18/19 10:00,10,L
01/18/19 12:15,15,R
01/18/19 13:00,0,S
01/18/19 14:35,10,L
01/18/19 17:50,0,W
01/18/19 18:05,25,R
01/18/19 18:50,15,L
01/18/19 21:00,20,R
01/18/19 23:10,20,L
01/19/19 01:10,20,R
01/19/19 01:10,10,L
01/19/19 01:40,20,R
01/19/19 03:15,0,W
01/19/19 03:40,30,L
01/19/19 04:30,0,S
01/19/19 05:15,5,R
01/19/19 05:30,0,W
01/19/19 06:00,10,R
01/19/19 06:40,15,R
01/19/19 06:40,5,L
01/19/19 07:15,0,W
01/19/19 07:30,15,L
01/19/19 10:10,30,R
01/19/19 11:45,15,L
01/19/19 13:45,0,W
01/19/19 14:00,15,R
01/19/19 15:08,12,L
01/19/19 17:40,0,W
01/19/19 17:45,15,R
01/19/19 19:10,30,L
01/19/19 21:13,5,R
01/19/19 21:35,10,R
01/19/19 22:35,15,L
01/19/19 23:00,15,R
01/19/19 23:30,15,L
01/20/19 00:20,5,R
01/20/19 00:35,15,L
01/20/19 03:42,20,L
01/20/19 03:42,10,R
01/20/19 04:20,0,S
01/20/19 04:40,20,L
01/20/19 04:40,10,R
01/20/19 06:05,20,R
01/20/19 06:40,20,L
01/20/19 06:40,10,R
01/20/19 11:30,0,S
01/20/19 12:09,30,R
01/20/19 15:30,15,L
01/20/19 18:30,0,S
01/20/19 18:45,10,R
01/20/19 18:45,10,L
01/20/19 19:25,10,R
01/20/19 20:00,15,L
01/20/19 21:10,15,R
01/20/19 21:45,0,S
01/20/19 21:45,0,W
01/20/19 22:15,30,L
01/21/19 02:25,0,S
01/21/19 02:25,0,W
01/21/19 02:36,15,R
01/21/19 02:36,10,L
01/21/19 03:10,0,S
01/21/19 03:35,15,R
01/21/19 03:35,5,L
01/21/19 03:35,15,R
01/21/19 04:35,5,L
01/21/19 04:35,10,R
01/21/19 05:40,0,W
01/21/19 05:45,10,L
01/21/19 05:45,10,R
01/21/19 06:15,15,R
01/21/19 09:45,0,W
01/21/19 10:00,10,L
01/21/19 11:20,0,W
01/21/19 11:30,10,R
01/21/19 12:30,0,W
01/21/19 12:55,15,L
01/21/19 14:00,15,R
01/21/19 15:45,0,W
01/21/19 15:50,0,S
01/21/19 16:30,30,R
01/21/19 17:50,20,L
01/21/19 18:45,0,W
01/21/19 20:15,0,S
01/21/19 20:25,0,W
01/21/19 20:40,25,L
01/22/19 00:15,0,S
01/22/19 00:15,0,W
01/22/19 00:15,0,S
01/22/19 00:20,15,R
01/22/19 00:20,10,L
01/22/19 04:30,0,W
01/22/19 04:35,15,R
01/22/19 04:35,10,L
01/22/19 08:10,0,S
01/22/19 08:15,15,L
01/22/19 08:15,20,R
01/22/19 11:55,0,S
01/22/19 12:00,0,W
01/22/19 12:05,25,R
01/22/19 12:05,10,L
01/22/19 15:50,0,W
01/22/19 15:50,0,S
01/22/19 15:55,15,L
01/22/19 17:30,0,S
01/22/19 17:40,30,R
01/22/19 18:20,0,S
01/22/19 18:50,0,W
01/22/19 19:05,15,L
01/22/19 22:05,0,W
01/22/19 22:15,30,R
01/22/19 23:25,5,L
01/23/19 01:55,0,W
01/23/19 01:55,0,S
01/23/19 02:00,15,L
01/23/19 02:00,15,R
01/23/19 03:30,0,W
01/23/19 03:50,10,L
01/23/19 03:50,15,R
01/23/19 06:50,0,S
01/23/19 07:00,15,L
01/23/19 07:00,15,R
01/23/19 09:30,0,W
01/23/19 10:05,10,L
01/23/19 10:50,0,W
01/23/19 12:45,10,L
01/23/19 14:00,0,S
01/23/19 14:00,0,W
01/23/19 14:05,5,R
01/23/19 15:15,0,S
01/23/19 15:15,0,W
01/23/19 16:40,0,S
01/23/19 16:45,40,R
01/23/19 19:50,0,W
01/23/19 19:50,0,S
01/23/19 20:10,20,L
01/23/19 20:55,0,S
01/23/19 23:10,20,L
01/23/19 24:18,15,R
01/23/19 08:10,20,L
















































